epoch,loss,accuracy,val_loss,val_accuracy
1,0.6913564801216125,0.568228542804718,0.6164954900741577,0.6630666851997375
2,0.5793642997741699,0.6975428462028503,0.5623969435691833,0.7206666469573975
3,0.4796517789363861,0.770799994468689,0.5121356844902039,0.7581333518028259
4,0.3600279986858368,0.8386856913566589,0.5622559189796448,0.7589333057403564
5,0.207850381731987,0.9158856868743896,0.8292798399925232,0.7225333452224731
6,0.09902457892894745,0.9649142622947693,1.0062183141708374,0.7311999797821045
7,0.05421993136405945,0.9839428663253784,1.0773820877075195,0.7349333167076111
8,0.03542885556817055,0.9880571365356445,1.243355393409729,0.7400000095367432
9,0.022747209295630455,0.9937142729759216,1.3606926202774048,0.7400000095367432
10,0.0156606063246727,0.9959428310394287,1.4235665798187256,0.7453333139419556
